iter	RMSE
0	33.8794399
1	27.27717732
2	21.68708224
3	17.25649094
4	14.05053064
5	11.38093539
6	9.333790858
7	7.726247512
8	6.685252084
9	5.785642528
10	5.202268842
11	4.746344935
12	4.400738541
13	4.140900932
14	3.954186083
15	3.793973069
16	3.694791745
17	3.612802875
18	3.497123286
19	3.436793323
20	3.390388735
21	3.339312204
22	3.223210891
23	3.148042611
24	3.039257232
25	3.001835162
26	2.939526786
27	2.851153472
28	2.791892301
29	2.706675341
30	2.687086278
31	2.640908065
32	2.56457094
33	2.514729771
34	2.458189727
35	2.425463785
36	2.390405418
37	2.325152799
38	2.272021926
39	2.227792549
40	2.17004067
41	2.13846346
42	2.102243519
43	2.07384462
44	2.025957006
45	1.980261878
46	1.936367848
47	1.914756272
48	1.896102961
49	1.856134998
50	1.826133026
51	1.803891085
52	1.783050726
53	1.773526962
54	1.738943027
55	1.735066765
56	1.705294637
57	1.678552677
58	1.649167117
59	1.61863288
60	1.602086917
61	1.579363948
62	1.565020836
63	1.535508173
64	1.509118483
65	1.492597191
66	1.478120323
67	1.460459168
68	1.439213377
69	1.419418147
70	1.397103194
71	1.387272843
72	1.371485318
73	1.3625967
74	1.354648332
75	1.338228915
76	1.31314557
77	1.293640239
78	1.285399908
79	1.270919588
80	1.269101829
81	1.254569426
82	1.245013911
83	1.229301032
84	1.217109601
85	1.203177675
86	1.197353016
87	1.186081971
88	1.176138067
89	1.157056985
90	1.144439494
91	1.131677769
92	1.124063669
93	1.105905216
94	1.101796516
95	1.085015147
96	1.072487213
97	1.058608404
98	1.053209968
99	1.045862746
