iter	Passed	Remaining
0	0	91
1	1	81
2	2	79
3	3	76
4	3	73
5	4	72
6	5	71
7	6	69
8	6	68
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	62
15	11	61
16	12	60
17	13	59
18	13	57
19	14	57
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	18	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	30	40
43	30	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	48	22
68	49	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
